""	"PotGrowth"	"Variable_Size"	"Species"	"Model"	"sizeX0"	"sizeXb"	"alpha"	"beta"	"C"	"D"	"Cprim"	"gamma"	"theta"	"lambdaVec1"	"lambdaVec2"	"lambdaVec3"	"lambdaVec4"	"lambdaVec5"	"lambdaVec6"	"lambdaVec7"	"lambdaVec8"	"lambdaVec9"	"lambdaVec10"	"lambdaVec11"	"lambdaVec12"	"lambdaVec13"	"compX0"	"compXb"	"lambdaVec14"	"lambdaVec15"	"lambdaVec16"	"lambdaVec17"	"lambdaVec18"
"64"	149.801	"DIA"	"ACRU"	"Model.08a"	11.47693	0.5	0.5	1.454448	NA	0.3810554	413.1856	-0.06904046	NA	0.08354426	0.09100939	0.5640498	0.7929965	0.6494357	0.9999152	0.2412639	0.4926128	0.1486416	0.003059578	0.005576365	0.9326878	0.9834844	NA	NA	0.1814986	0.9932489	0.003182203	NA	NA
"65"	128.3946	"DIA"	"ACRU"	"Model.08b"	0.5	12.36907	0.5	1.468167	NA	0.4347862	280.0739	-0.05856254	NA	0.07134662	0.1070249	0.6550177	1	0.8678551	0.9524855	0.4867035	0.1326475	0.05093371	0.04770912	-0.02574428	0.102219	0.9918199	NA	NA	0.2504929	0.9925193	0.2944735	NA	NA
"66"	78.9525	"DIA"	"ACRU"	"Model.08c"	1.874333	3.542	0.5051949	1.358996	NA	NA	NA	NA	NA	0.1908647	0.5056295	0.7112525	0.9998337	0.9090119	0.974195	0.6681767	0.7339551	0.414141	-0.0864714	0.2143785	0.9940974	0.9999884	0.001	30.6696	0.3565891	0.9996978	0.219629	NA	NA
"67"	96.27773	"DIA"	"ACRU"	"Model.09a"	0.5	16.85072	3.996821	1.540744	NA	0.2102746	64.52591	0.3312348	NA	0.9266958	0.2071608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	79.57513	"DIA"	"ACRU"	"Model.09b"	0.697897	11.70699	0.5	2.39981	NA	0.7846918	10.98591	0.4281722	NA	0.9999881	0.7807493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	78.9525	"DIA"	"ACRU"	"Model.09c"	0.6347869	10.66927	0.5	1.914547	NA	NA	NA	NA	NA	1	0.8464422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	48.43771	NA	NA	NA	NA	NA
"70"	78.95597	"DIA"	"ACRU"	"Model.10a"	0.5	16.35371	0.5	1.417214	NA	1	9.339459	0.3258727	NA	0.1079901	0.7038335	0.2290304	0.9979021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	78.9525	"DIA"	"ACRU"	"Model.10b"	1.767854	4.757551	0.5	1.492056	NA	1	8.697173	0.3656714	NA	0.1062188	0.6851407	0.2417687	0.9999936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	78.95448	"DIA"	"ACRU"	"Model.10c"	0.5	13.3827	0.5	1.372827	NA	NA	NA	NA	NA	0.1425776	0.7475222	0.3183712	0.9999983	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	30.57731	NA	NA	NA	NA	NA
"73"	79.00747	"DIA"	"ACRU"	"Model.11a"	5.80286	1.267956	0.5000002	2.530003	NA	0.8106387	21.12179	0.3042386	NA	0.1838822	0.4928419	0.926758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
